Date,amount,Purchase,Category,Link
8/26/15,51000,Cell Site Simulator,Surveillance,18202.pdf
8/26/15,15206.75,Barracuda backup server,Unknown,18203.pdf
8/26/15,14213.88,Cell phone metadata,Surveillance,18205.pdf
9/1/15,17709.95,Narcotics Field Testing Kit,Routine,18215.pdf
9/1/15,15821.65,Cell phone service,Routine,18218.pdf
9/1/15,7000,Training and equipment,Routine,18219.pdf
9/3/15,116115.06,Car Rentals,Routine,18226.pdf
9/10/15,9333.3,Cell phone metadata,Surveillance,18235.pdf
9/10/15,13183.5,Computers,Routine,18236.pdf
9/10/15,39540,Computers,Routine,18238.pdf
9/11/15,63980,ADS invoice,Unknown,18240.pdf
9/11/15,33275,ADS invoice,Unknown,18241.pdf
9/23/15,27200,Cell Site Simulator,Surveillance,18252.pdf
9/23/15,37700,Cell Site Simulator,Surveillance,18253.pdf
10/1/15,31741.36,Computers,Routine,18260.pdf
10/1/15,8500,Lexis Nexis,Routine,18264.pdf
10/1/15,11002.99,Shredder,Routine,18266.pdf
10/1/15,15425.62,Car Rentals,Routine,18268.pdf
10/1/15,112458.16,Cell phone service,Routine,18267.pdf
10/2/15,21253.2,Computers,Routine,18274.pdf
10/2/15,9711.84,Computers,Routine,18271.pdf
10/2/15,8916.63,Computers,Routine,18272.pdf
10/2/15,5577.85,Cell phone service,Routine,18270.pdf
10/5/15,10819.38,RedXDefense training,Unknown,18277.pdf
10/8/15,9491.03,car repair and seizure,Routine,18280.pdf
10/13/15,16579.55,Cameras,Surveillance,18290.pdf
10/13/15,6081,LEXIS NEXIS,Routine,18295.pdf
10/20/15,728355,Police Radios,Routine,18315.pdf
10/20/15,12975.53,Worldwide Technologies invoice,Unknown,18314.pdf
10/20/15,8548,Computers,Routine,18316.pdf
10/20/15,8500,LEXIS NEXIS,Routine,18308.pdf
10/21/15,23600,Research Electronics,Unknown,18320.pdf
10/21/15,15348.21,Cell phone metadata,Surveillance,18318.pdf
11/2/15,112194.91,Car Rentals,Routine,18332.pdf
11/2/15,21809,Cell phone service,Routine,18334.pdf
11/2/15,18225.96,Computers,Routine,18337.pdf
11/2/15,15750.96,Cell phone service,Routine,18333.pdf
11/2/15,14453.52,Computers,Routine,18340.pdf
11/2/15,7947.67,car repair and seizure,Routine,18331.pdf
11/2/15,5385,Computers,Routine,18336.pdf
11/2/15,12837.51,Computers,Routine,18339.pdf
11/2/15,8436.02,Computers,Routine,18342.pdf
11/2/15,8436.02,Computers,Routine,18343.pdf
11/2/15,8812.08,Computers,Routine,18344.pdf
11/2/15,7647.9,Computers,Routine,18345.pdf
11/12/15,6325,Cell phone service,Routine,18357.pdf
11/13/15,18561.35,Davis Sign Company,Unknown,18361.pdf
11/16/15,5224,LEXIS NEXIS,Routine,18362.pdf
11/17/15,8500,LEXIS NEXIS,Routine,18369.pdf
12/2/15,110729.84,Car Rentals,Routine,18374.pdf
12/1/15,68159.5,Cell phone metadata,Surveillance,18382.pdf
12/4/15,15349.99,Cell phone service,Routine,18383.pdf
12/4/15,131783.84,Meridian IT ,Unknown,18384.pdf
12/8/15,20683.23,Cell phone service,Routine,18388.pdf
12/10/15,5355,Lexis Nexis,Routine,18389.pdf
12/10/15,35192.64,Computers,Routine,18393.pdf
12/10/15,35192.64,Computers,Routine,18394.pdf
12/10/15,11250,Computers,Routine,18395.pdf
12/10/15,11567.7,Computers,Routine,18396.pdf
12/21/15,8500,Lexis Nexis,Routine,18403.pdf
12/21/15,9894,Police Radios,Routine,18406.pdf
12/30/15,12978.45,car repair and seizure,Routine,18422.pdf
12/30/15,15459.07,Cell phone service,Routine,18424.pdf
12/30/15,3205416.21,"All expenses below $5,000",,
